NO_CURSO,Rede,Grau,NO_REGIAO_IES,QT_ING_TOTAL,QT_DESV_TOTAL,ano
Investigação E Perícia Judicial,Privada,Tecnólogo,Sul,2,0,2024
Investigação E Perícia Judicial E Extrajudicial,Privada,Tecnólogo,Sul,453,44,2024
Investigação Forense E Perícia Criminal,Privada,Tecnólogo,Centro-Oeste,280,146,2024
Investigação Forense E Perícia Criminal,Privada,Tecnólogo,Nordeste,486,188,2024
Investigação Forense E Perícia Criminal,Privada,Tecnólogo,Sudeste,1721,1122,2024
Investigação Forense E Perícia Criminal,Privada,Tecnólogo,Sul,6698,4246,2024
Investigação Forense E Perícia Judicial,Privada,Tecnólogo,Sul,263,64,2024
Investigação Profissional,Privada,Tecnólogo,Sul,193,72,2024
Jogos Digitais,Privada,Tecnólogo,Centro-Oeste,67,32,2024
Jogos Digitais,Privada,Tecnólogo,Nordeste,60,30,2024
Jogos Digitais,Privada,Tecnólogo,Norte,5,0,2024
Jogos Digitais,Privada,Tecnólogo,Sudeste,1001,448,2024
Jogos Digitais,Privada,Tecnólogo,Sul,1464,676,2024
Jornalismo,Privada,Bacharelado,Centro-Oeste,309,155,2024
Jornalismo,Privada,Bacharelado,Nordeste,179,65,2024
Jornalismo,Privada,Bacharelado,Sudeste,2697,1363,2024
Jornalismo,Privada,Bacharelado,Sul,3833,2154,2024
Jornalismo Digital,Privada,Bacharelado,Sul,289,141,2024
Laticínios,Pública,Tecnólogo,Sudeste,38,1,2024
Letras,Privada,Bacharelado,Sul,484,192,2024
Letras,Privada,Licenciatura,Centro-Oeste,21,5,2024
Letras,Privada,Licenciatura,Nordeste,151,83,2024
Letras,Privada,Licenciatura,Norte,115,16,2024
Letras,Privada,Licenciatura,Sudeste,1552,855,2024
Letras,Privada,Licenciatura,Sul,119,39,2024
Letras,Pública,Licenciatura,Nordeste,73,1,2024
Letras,Pública,Licenciatura,Sudeste,1991,1069,2024
Letras - Alemão,Privada,Licenciatura,Sul,110,34,2024
Letras - Espanhol,Privada,Licenciatura,Centro-Oeste,13,2,2024
Letras - Espanhol,Privada,Licenciatura,Nordeste,44,0,2024
Letras - Espanhol,Privada,Licenciatura,Norte,14,2,2024
Letras - Espanhol,Privada,Licenciatura,Sudeste,303,149,2024
Letras - Espanhol,Privada,Licenciatura,Sul,615,261,2024
Letras - Espanhol,Pública,Licenciatura,Nordeste,53,14,2024
Letras - Espanhol,Pública,Licenciatura,Sul,377,62,2024
Letras - Espanhol E Literatura Hispânica,Pública,Licenciatura,Norte,86,1,2024
Letras - Inglês,Privada,Licenciatura,Centro-Oeste,188,98,2024
Letras - Inglês,Privada,Licenciatura,Nordeste,122,13,2024
Letras - Inglês,Privada,Licenciatura,Norte,98,14,2024
Letras - Inglês,Privada,Licenciatura,Sudeste,2307,1106,2024
Letras - Inglês,Privada,Licenciatura,Sul,3555,1504,2024
Letras - Inglês,Pública,Licenciatura,Centro-Oeste,36,13,2024
Letras - Inglês,Pública,Licenciatura,Nordeste,104,14,2024
Letras - Libras,Privada,Bacharelado,Sudeste,42,1,2024
Letras - Libras,Privada,Bacharelado,Sul,920,336,2024
Letras - Libras,Privada,Licenciatura,Nordeste,7,3,2024
Letras - Libras,Privada,Licenciatura,Sudeste,483,201,2024
Letras - Libras,Privada,Licenciatura,Sul,3130,1705,2024
Letras - Libras,Pública,Bacharelado,Sul,532,231,2024
Letras - Libras,Pública,Licenciatura,Nordeste,320,56,2024
Letras - Libras,Pública,Licenciatura,Sudeste,175,2,2024
Letras - Libras,Pública,Licenciatura,Sul,788,546,2024
Letras - Libras - Língua Portuguesa,Privada,Licenciatura,Centro-Oeste,22,6,2024
Letras - Libras - Língua Portuguesa,Privada,Licenciatura,Sudeste,401,193,2024
Letras - Libras - Língua Portuguesa,Privada,Licenciatura,Sul,40,8,2024
Letras - Língua Inglesa,Privada,Licenciatura,Nordeste,318,79,2024
Letras - Língua Portuguesa,Privada,Bacharelado,Centro-Oeste,31,10,2024
Letras - Língua Portuguesa,Privada,Bacharelado,Nordeste,1,0,2024
Letras - Língua Portuguesa,Privada,Bacharelado,Sudeste,519,250,2024
Letras - Língua Portuguesa,Privada,Bacharelado,Sul,211,98,2024
Letras - Língua Portuguesa,Privada,Licenciatura,Centro-Oeste,159,63,2024
Letras - Língua Portuguesa,Privada,Licenciatura,Nordeste,170,29,2024
Letras - Língua Portuguesa,Privada,Licenciatura,Sudeste,1282,646,2024
Letras - Língua Portuguesa,Privada,Licenciatura,Sul,3672,1477,2024
Letras - Língua Portuguesa,Pública,Licenciatura,Nordeste,710,309,2024
Letras - Língua Portuguesa,Pública,Licenciatura,Sudeste,7,0,2024
Letras - Língua Portuguesa E Libras,Privada,Licenciatura,Sudeste,173,67,2024
Letras - Língua Portuguesa E Libras,Privada,Licenciatura,Sul,995,148,2024
Letras - Língua Portuguesa E Língua Inglesa,Privada,Licenciatura,Centro-Oeste,27,20,2024
Letras - Língua Portuguesa E Língua Inglesa,Privada,Licenciatura,Sudeste,282,85,2024
Letras - Língua Portuguesa E Língua Inglesa,Pública,Licenciatura,Sudeste,17,6,2024
Letras - Língua Portuguesa E Língua Inglesa E Respectivas Literaturas,Pública,Licenciatura,Sudeste,33,12,2024
"Letras - Língua Portuguesa, Língua Estrangeira (Inglesa Ou Espanhola) E Literatura Brasileira",Privada,Licenciatura,Sudeste,3,0,2024
Letras - Português,Privada,Licenciatura,Centro-Oeste,254,147,2024
Letras - Português,Privada,Licenciatura,Nordeste,553,134,2024
Letras - Português,Privada,Licenciatura,Sudeste,1849,822,2024
Letras - Português,Privada,Licenciatura,Sul,5849,2867,2024
Letras - Português,Pública,Licenciatura,Nordeste,490,89,2024
Letras - Português,Pública,Licenciatura,Norte,29,1,2024
Letras - Português,Pública,Licenciatura,Sul,729,266,2024
Letras - Português E Espanhol,Privada,Licenciatura,Centro-Oeste,98,41,2024
Letras - Português E Espanhol,Privada,Licenciatura,Sudeste,854,364,2024
Letras - Português E Espanhol,Privada,Licenciatura,Sul,823,442,2024
Letras - Português E Espanhol,Pública,Licenciatura,Centro-Oeste,357,44,2024
Letras - Português E Espanhol,Pública,Licenciatura,Norte,100,18,2024
Letras - Português E Francês,Privada,Licenciatura,Sul,107,21,2024
Letras - Português E Inglês,Privada,Licenciatura,Centro-Oeste,372,168,2024
Letras - Português E Inglês,Privada,Licenciatura,Nordeste,101,54,2024
Letras - Português E Inglês,Privada,Licenciatura,Sudeste,4738,2461,2024
Letras - Português E Inglês,Privada,Licenciatura,Sul,7718,5049,2024
Letras - Português E Inglês,Pública,Licenciatura,Sul,79,54,2024
Letras - Português E Japonês,Privada,Licenciatura,Sudeste,218,106,2024
Letras - Português E Japonês,Privada,Licenciatura,Sul,20,12,2024
Letras - Português E Literatura,Privada,Licenciatura,Sudeste,37,15,2024
Letras - Português E Literaturas,Privada,Licenciatura,Sudeste,10,2,2024
Letras - Português-Inglês,Privada,Licenciatura,Norte,1,0,2024
Letras - Português-Inglês,Privada,Licenciatura,Sudeste,80,14,2024
Letras - Português-Inglês,Privada,Licenciatura,Sul,27,12,2024
Letras Libras - Tradutor/Intérprete Em Libras,Pública,Bacharelado,Centro-Oeste,64,61,2024
Licenciatura Em Educação Especial,Privada,Licenciatura,Sul,628,17,2024
Logística,Privada,Tecnólogo,Centro-Oeste,2275,1130,2024
Logística,Privada,Tecnólogo,Nordeste,3753,734,2024
Logística,Privada,Tecnólogo,Norte,326,65,2024
Logística,Privada,Tecnólogo,Sudeste,26270,13789,2024
Logística,Privada,Tecnólogo,Sul,38081,23383,2024
Logística,Pública,Tecnólogo,Sudeste,46,22,2024
Manutenção Industrial,Privada,Tecnólogo,Sudeste,48,1,2024
Manutenção Industrial,Privada,Tecnólogo,Sul,679,450,2024
Marketing,Privada,Bacharelado,Sul,601,324,2024
Marketing,Privada,Tecnólogo,Centro-Oeste,932,442,2024
Marketing,Privada,Tecnólogo,Nordeste,2459,803,2024
Marketing,Privada,Tecnólogo,Norte,193,21,2024
Marketing,Privada,Tecnólogo,Sudeste,15343,8190,2024
Marketing,Privada,Tecnólogo,Sul,16055,9482,2024
Marketing,Pública,Tecnólogo,Sudeste,63,35,2024
Marketing Digital,Privada,Tecnólogo,Centro-Oeste,717,406,2024
Marketing Digital,Privada,Tecnólogo,Nordeste,843,518,2024
Marketing Digital,Privada,Tecnólogo,Sudeste,10825,5864,2024
Marketing Digital,Privada,Tecnólogo,Sul,11560,6703,2024
Marketing Digital E Data Science,Privada,Tecnólogo,Sudeste,401,161,2024
Massoterapia,Privada,Tecnólogo,Sul,1140,194,2024
Matemática,Privada,Bacharelado,Centro-Oeste,11,6,2024
Matemática,Privada,Bacharelado,Nordeste,15,5,2024
Matemática,Privada,Bacharelado,Sudeste,731,372,2024
Matemática,Privada,Bacharelado,Sul,476,205,2024
Matemática,Privada,Licenciatura,Centro-Oeste,349,152,2024
Matemática,Privada,Licenciatura,Nordeste,529,128,2024
Matemática,Privada,Licenciatura,Norte,91,6,2024
Matemática,Privada,Licenciatura,Sudeste,5369,2535,2024
Matemática,Privada,Licenciatura,Sul,10020,5696,2024
Matemática,Pública,Licenciatura,Centro-Oeste,160,53,2024
Matemática,Pública,Licenciatura,Nordeste,1281,423,2024
Matemática,Pública,Licenciatura,Sudeste,937,393,2024
Matemática,Pública,Licenciatura,Sul,414,224,2024
Mecatrônica Automotiva,Privada,Tecnólogo,Sul,799,150,2024
Mecatrônica Industrial,Privada,Tecnólogo,Sudeste,46,19,2024
Mediação,Privada,Tecnólogo,Centro-Oeste,32,13,2024
Mediação,Privada,Tecnólogo,Nordeste,51,19,2024
Mediação,Privada,Tecnólogo,Sudeste,339,145,2024
Mediação,Privada,Tecnólogo,Sul,357,151,2024
"Mediação, Conciliação E Arbitragem",Privada,Tecnólogo,Sul,202,44,2024
Medicina Veterinária,Privada,Bacharelado,Centro-Oeste,173,11,2024
Medicina Veterinária,Privada,Bacharelado,Nordeste,178,62,2024
Medicina Veterinária,Privada,Bacharelado,Sudeste,1486,582,2024
Medicina Veterinária,Privada,Bacharelado,Sul,1100,372,2024
Mercado Financeiro E De Capitais,Privada,Tecnólogo,Centro-Oeste,60,23,2024
Mineração,Privada,Tecnólogo,Sudeste,25,3,2024
Mineração,Pública,Tecnólogo,Sul,62,6,2024
Ministério Pastoral,Privada,Tecnólogo,Sul,232,61,2024
Moda,Privada,Bacharelado,Sudeste,175,77,2024
Museologia,Privada,Bacharelado,Sudeste,76,36,2024
Museologia,Privada,Bacharelado,Sul,180,52,2024
Mídias Digitais,Privada,Tecnólogo,Sul,6,3,2024
Mídias Sociais Digitais,Privada,Tecnólogo,Nordeste,4,2,2024
Mídias Sociais Digitais,Privada,Tecnólogo,Sudeste,9,0,2024
Mídias Sociais Digitais,Privada,Tecnólogo,Sul,1073,703,2024
Mídias Sociais Digitais,Pública,Tecnólogo,Centro-Oeste,334,121,2024
Mídias Sociais E Digitais,Privada,Tecnólogo,Sul,86,21,2024
Música,Privada,Bacharelado,Sudeste,224,114,2024
Música,Privada,Licenciatura,Sudeste,570,322,2024
Música,Privada,Licenciatura,Sul,5491,2235,2024
Música,Pública,Licenciatura,Nordeste,34,1,2024
Música,Pública,Licenciatura,Norte,25,1,2024
Música,Pública,Licenciatura,Sudeste,1,1,2024
Naturologia,Privada,Bacharelado,Nordeste,4,3,2024
Naturologia,Privada,Bacharelado,Sudeste,423,170,2024
Naturologia,Privada,Bacharelado,Sul,35,14,2024
Negócios Digitais,Privada,Tecnólogo,Sul,30,7,2024
Negócios E Customer Experience,Privada,Tecnólogo,Sul,286,152,2024
Negócios Internacionais,Privada,Bacharelado,Sul,7,2,2024
Negócios Sustentáveis E Esg,Privada,Tecnólogo,Sul,101,60,2024
Nutrição,Privada,Bacharelado,Centro-Oeste,1192,574,2024
Nutrição,Privada,Bacharelado,Nordeste,3547,945,2024
Nutrição,Privada,Bacharelado,Norte,508,43,2024
Nutrição,Privada,Bacharelado,Sudeste,16433,7559,2024
Nutrição,Privada,Bacharelado,Sul,32648,19924,2024
Nutrição Escolar,Privada,Tecnólogo,Sul,108,16,2024
Oftálmica,Privada,Tecnólogo,Sul,211,102,2024
Optometria,Privada,Bacharelado,Nordeste,28,2,2024
Optometria,Privada,Bacharelado,Sudeste,20,0,2024
Optometria,Privada,Bacharelado,Sul,308,95,2024
Paisagismo E Jardinagem,Privada,Tecnólogo,Sul,478,117,2024
Panificação,Privada,Tecnólogo,Sudeste,41,5,2024
Pecuária,Privada,Tecnólogo,Sul,196,36,2024
Pedagogia,Privada,Bacharelado,Nordeste,9639,0,2024
Pedagogia,Privada,Bacharelado,Sudeste,103,87,2024
Pedagogia,Privada,Bacharelado,Sul,8,1,2024
Pedagogia,Privada,Licenciatura,Centro-Oeste,10187,4868,2024
Pedagogia,Privada,Licenciatura,Nordeste,17886,4202,2024
Pedagogia,Privada,Licenciatura,Norte,1731,260,2024
Pedagogia,Privada,Licenciatura,Sudeste,103124,49172,2024
Pedagogia,Privada,Licenciatura,Sul,174398,104858,2024
Pedagogia,Pública,Licenciatura,Centro-Oeste,1564,184,2024
Pedagogia,Pública,Licenciatura,Nordeste,1198,194,2024
Pedagogia,Pública,Licenciatura,Norte,294,56,2024
Pedagogia,Pública,Licenciatura,Sudeste,9318,3325,2024
Pedagogia,Pública,Licenciatura,Sul,1736,509,2024
Pedagogia - Docencia Da Educação Infantil/Administração Educacional,Privada,Licenciatura,Norte,149,2,2024
Pedagogia Bilíngue,Pública,Licenciatura,Sudeste,317,86,2024
Pedagogia E Educação Profissional E Tecnológica,Pública,Licenciatura,Sudeste,144,24,2024
Pedagogia Em Educação Profissional E Tecnológica,Pública,Licenciatura,Norte,420,152,2024
Pedagogia Em Educação Profissional E Tecnológica,Pública,Licenciatura,Sudeste,720,233,2024
Perícia Judicial E Extrajudicial,Privada,Tecnólogo,Sudeste,153,40,2024
Perícia Judicial E Extrajudicial,Privada,Tecnólogo,Sul,224,52,2024
Pilotagem Profissional De Aeronaves,Privada,Tecnólogo,Sudeste,17,0,2024
Pilotagem Profissional De Aeronaves,Privada,Tecnólogo,Sul,13,2,2024
Podologia,Privada,Tecnólogo,Centro-Oeste,28,12,2024
Podologia,Privada,Tecnólogo,Nordeste,662,77,2024
Podologia,Privada,Tecnólogo,Norte,41,5,2024
Podologia,Privada,Tecnólogo,Sudeste,759,358,2024
Podologia,Privada,Tecnólogo,Sul,9087,5831,2024
Processos Cervejeiros,Privada,Tecnólogo,Sul,56,1,2024
Processos Escolares,Privada,Tecnólogo,Centro-Oeste,15,1,2024
Processos Escolares,Privada,Tecnólogo,Sudeste,300,116,2024
Processos Escolares,Privada,Tecnólogo,Sul,238,26,2024
Processos Gerenciais,Privada,Tecnólogo,Centro-Oeste,1053,445,2024
Processos Gerenciais,Privada,Tecnólogo,Nordeste,1264,392,2024
Processos Gerenciais,Privada,Tecnólogo,Norte,51,15,2024
Processos Gerenciais,Privada,Tecnólogo,Sudeste,12564,5917,2024
Processos Gerenciais,Privada,Tecnólogo,Sul,22715,12874,2024
Processos Gerenciais,Pública,Tecnólogo,Centro-Oeste,362,233,2024
Processos Gerenciais,Pública,Tecnólogo,Sudeste,5676,2797,2024
Processos Gerenciais,Pública,Tecnólogo,Sul,9,6,2024
Processos Metalúrgicos,Privada,Tecnólogo,Sudeste,41,25,2024
Processos Químicos,Privada,Tecnólogo,Centro-Oeste,35,34,2024
Processos Químicos,Privada,Tecnólogo,Sul,763,153,2024
Produção Audiovisual,Privada,Tecnólogo,Centro-Oeste,187,80,2024
Produção Audiovisual,Privada,Tecnólogo,Nordeste,3,0,2024
Produção Audiovisual,Privada,Tecnólogo,Sudeste,907,303,2024
Produção Audiovisual,Privada,Tecnólogo,Sul,784,397,2024
Produção Cervejeira,Privada,Tecnólogo,Centro-Oeste,27,12,2024
Produção Cervejeira,Privada,Tecnólogo,Sudeste,34,9,2024
Produção Cervejeira,Privada,Tecnólogo,Sul,170,83,2024
Produção Cultural,Privada,Tecnólogo,Nordeste,1,0,2024
Produção Cultural,Privada,Tecnólogo,Sudeste,273,155,2024
Produção Cultural,Privada,Tecnólogo,Sul,256,110,2024
Produção Cultural,Pública,Tecnólogo,Sul,127,0,2024
Produção De Cerveja,Privada,Tecnólogo,Sul,404,231,2024
Produção De Conteúdo Digital,Privada,Tecnólogo,Centro-Oeste,3,1,2024
Produção De Conteúdo Digital,Privada,Tecnólogo,Sudeste,176,63,2024
Produção De Conteúdo Digital,Privada,Tecnólogo,Sul,39,14,2024
Produção De Conteúdos Digitais,Privada,Tecnólogo,Sul,15,2,2024
Produção Industrial,Privada,Tecnólogo,Sul,3,2,2024
Produção Midiática,Privada,Tecnólogo,Sudeste,25,10,2024
Produção Multimídia,Privada,Tecnólogo,Sudeste,79,31,2024
Produção Multimídia,Privada,Tecnólogo,Sul,23,7,2024
Produção Multimídia Em Realidade Aumentada,Privada,Tecnólogo,Nordeste,2,1,2024
Produção Multimídia Em Realidade Aumentada,Privada,Tecnólogo,Sudeste,37,12,2024
Produção Multimídia Em Realidade Aumentada,Privada,Tecnólogo,Sul,8,0,2024
Produção Publicitária,Privada,Tecnólogo,Centro-Oeste,52,17,2024
Produção Publicitária,Privada,Tecnólogo,Sudeste,162,60,2024
Produção Publicitária,Privada,Tecnólogo,Sul,101,4,2024
Programa Especial De Graduação De Formação De Professores Para A Educação Profissional,Pública,Licenciatura,Sul,258,22,2024
Práticas Integrativas E Complementares Em Saúde,Privada,Tecnólogo,Sul,675,174,2024
Prótese Dental,Privada,Tecnólogo,Centro-Oeste,6,0,2024
Psicanálise,Privada,Bacharelado,Nordeste,28,9,2024
Psicanálise,Privada,Bacharelado,Sudeste,1481,661,2024
Psicanálise,Privada,Bacharelado,Sul,6368,1521,2024
Psicomotricidade,Privada,Bacharelado,Sul,4,0,2024
Psicomotricidade,Privada,Tecnólogo,Sul,862,93,2024
Psicomotricidade E Ludicidade Na Educação Infantil,Privada,Tecnólogo,Sul,426,84,2024
Psicopedagogia,Privada,Bacharelado,Centro-Oeste,709,331,2024
Psicopedagogia,Privada,Bacharelado,Nordeste,88,42,2024
Psicopedagogia,Privada,Bacharelado,Sudeste,5892,2715,2024
Psicopedagogia,Privada,Bacharelado,Sul,13235,7558,2024
Psicopedagogia,Privada,Licenciatura,Centro-Oeste,1,0,2024
Psicopedagogia,Privada,Licenciatura,Nordeste,59,33,2024
Psicopedagogia,Privada,Licenciatura,Sudeste,878,315,2024
Psicopedagogia,Privada,Licenciatura,Sul,3049,1230,2024
Publicidade E Propaganda,Privada,Bacharelado,Centro-Oeste,471,213,2024
Publicidade E Propaganda,Privada,Bacharelado,Nordeste,500,146,2024
Publicidade E Propaganda,Privada,Bacharelado,Sudeste,3239,1672,2024
Publicidade E Propaganda,Privada,Bacharelado,Sul,6202,3515,2024
Publicidade E Propaganda,Pública,Bacharelado,Sul,34,6,2024
Publicidade E Propaganda - Marketing,Privada,Bacharelado,Centro-Oeste,212,116,2024
Publicidade E Propaganda - Marketing,Privada,Bacharelado,Sudeste,284,99,2024
Publicidade E Propaganda - Marketing,Privada,Bacharelado,Sul,1656,876,2024
Qualidade De Vida Na Contemporaneidade,Privada,Tecnólogo,Sul,16,2,2024
Quiropraxia,Privada,Bacharelado,Sul,46,5,2024
Quiropraxia,Privada,Tecnólogo,Sul,582,67,2024
Química,Privada,Bacharelado,Centro-Oeste,268,157,2024
Química,Privada,Bacharelado,Nordeste,2,2,2024
Química,Privada,Bacharelado,Sudeste,1538,669,2024
Química,Privada,Bacharelado,Sul,2780,1174,2024
Química,Privada,Licenciatura,Centro-Oeste,15,1,2024
Química,Privada,Licenciatura,Nordeste,7,3,2024
Química,Privada,Licenciatura,Sudeste,1030,401,2024
Química,Privada,Licenciatura,Sul,2286,822,2024
Química,Pública,Licenciatura,Centro-Oeste,116,13,2024
Química,Pública,Licenciatura,Nordeste,116,34,2024
Química,Pública,Licenciatura,Norte,25,0,2024
Química,Pública,Licenciatura,Sudeste,252,89,2024
Química - Programa Segunda Licenciatura,Pública,Licenciatura,Sudeste,1,0,2024
Radiologia,Privada,Tecnólogo,Centro-Oeste,544,243,2024
Radiologia,Privada,Tecnólogo,Nordeste,35,19,2024
Radiologia,Privada,Tecnólogo,Sudeste,4435,2286,2024
Radiologia,Privada,Tecnólogo,Sul,7284,4002,2024
"Recrutamento, Seleção E Desenvolvimento De Pessoas",Privada,Tecnólogo,Sul,62,19,2024
Recursos Humanos,Privada,Tecnólogo,Centro-Oeste,107,4,2024
Redes De Computadores,Privada,Bacharelado,Sul,13,0,2024
Redes De Computadores,Privada,Tecnólogo,Centro-Oeste,289,140,2024
Redes De Computadores,Privada,Tecnólogo,Nordeste,297,93,2024
Redes De Computadores,Privada,Tecnólogo,Sudeste,4237,2007,2024
Redes De Computadores,Privada,Tecnólogo,Sul,4027,1929,2024
Relações Internacionais,Privada,Bacharelado,Centro-Oeste,125,63,2024
Relações Internacionais,Privada,Bacharelado,Nordeste,23,11,2024
Relações Internacionais,Privada,Bacharelado,Sudeste,2505,1396,2024
Relações Internacionais,Privada,Bacharelado,Sul,2685,1339,2024
Relações Públicas,Privada,Bacharelado,Nordeste,11,8,2024
Relações Públicas,Privada,Bacharelado,Sudeste,855,375,2024
Relações Públicas,Privada,Bacharelado,Sul,1048,584,2024
Ressocialização De Toxicômanos,Privada,Tecnólogo,Sul,9,2,2024
Rádio E Tv,Privada,Bacharelado,Sudeste,138,53,2024
Saneamento Ambiental,Privada,Tecnólogo,Sudeste,32,7,2024
Saneamento Ambiental,Privada,Tecnólogo,Sul,528,71,2024
Saúde Coletiva,Privada,Bacharelado,Sudeste,2,1,2024
Saúde Coletiva,Privada,Tecnólogo,Sudeste,45,6,2024
Saúde E Bem-Estar Integral,Privada,Tecnólogo,Sul,5,3,2024
Secretariado,Privada,Tecnólogo,Centro-Oeste,262,89,2024
Secretariado,Privada,Tecnólogo,Nordeste,4,1,2024
Secretariado,Privada,Tecnólogo,Sudeste,891,337,2024
Secretariado,Privada,Tecnólogo,Sul,3367,1604,2024
Secretariado Executivo,Privada,Bacharelado,Centro-Oeste,36,11,2024
Secretariado Executivo,Privada,Bacharelado,Sudeste,547,293,2024
Secretariado Executivo,Privada,Bacharelado,Sul,83,37,2024
Secretariado Executivo,Privada,Tecnólogo,Sudeste,27,17,2024
Secretariado Executivo - Bilíngue,Privada,Bacharelado,Centro-Oeste,68,49,2024
Secretariado Executivo E Assistência Virtual,Privada,Tecnólogo,Sudeste,9,0,2024
Secretariado Executivo Trilíngue,Privada,Bacharelado,Sudeste,34,5,2024
Segunda Licenciatura Em Pedagogia,Privada,Licenciatura,Sul,13,1,2024
Segunda Licenciatura Em Pedagogia Para Professores Em Exercício Na Educação Básica Pública,Pública,Licenciatura,Sudeste,37,9,2024
Segurança Alimentar,Privada,Tecnólogo,Sul,608,412,2024
Segurança Cibernética,Privada,Tecnólogo,Centro-Oeste,87,22,2024
Segurança Cibernética,Privada,Tecnólogo,Sudeste,283,151,2024
Segurança Cibernética,Privada,Tecnólogo,Sul,1530,757,2024
Segurança Da Informação,Privada,Tecnólogo,Centro-Oeste,290,119,2024
Segurança Da Informação,Privada,Tecnólogo,Nordeste,142,61,2024
Segurança Da Informação,Privada,Tecnólogo,Sudeste,2570,1096,2024
Segurança Da Informação,Privada,Tecnólogo,Sul,1821,546,2024
Segurança Da Informação E Defesa Cibernética,Privada,Tecnólogo,Sudeste,25,0,2024
Segurança Digital,Privada,Tecnólogo,Sudeste,13,0,2024
Segurança Do Trabalho,Privada,Tecnólogo,Sudeste,106,75,2024
Segurança Do Trabalho,Privada,Tecnólogo,Sul,4694,3465,2024
Segurança No Trabalho,Privada,Tecnólogo,Centro-Oeste,144,44,2024
Segurança No Trabalho,Privada,Tecnólogo,Nordeste,56,29,2024
Segurança No Trabalho,Privada,Tecnólogo,Sudeste,4648,2529,2024
Segurança No Trabalho,Privada,Tecnólogo,Sul,2872,1403,2024
Segurança No Trânsito,Privada,Tecnólogo,Nordeste,31,9,2024
Segurança No Trânsito,Privada,Tecnólogo,Sudeste,538,247,2024
Segurança No Trânsito,Privada,Tecnólogo,Sul,399,52,2024
Segurança Privada,Privada,Tecnólogo,Nordeste,10,0,2024
Segurança Privada,Privada,Tecnólogo,Sudeste,282,113,2024
Segurança Privada,Privada,Tecnólogo,Sul,17,5,2024
Segurança Pública,Privada,Tecnólogo,Centro-Oeste,865,345,2024
Segurança Pública,Privada,Tecnólogo,Nordeste,708,141,2024
Segurança Pública,Privada,Tecnólogo,Norte,79,19,2024
Segurança Pública,Privada,Tecnólogo,Sudeste,6803,3621,2024
Segurança Pública,Privada,Tecnólogo,Sul,10353,4147,2024
Segurança Pública,Pública,Tecnólogo,Sudeste,205,144,2024
Service Design,Privada,Tecnólogo,Nordeste,19,6,2024
Service Design,Privada,Tecnólogo,Norte,1,0,2024
Service Design,Privada,Tecnólogo,Sudeste,1,0,2024
Service Design,Privada,Tecnólogo,Sul,4,0,2024
Serviço Social,Privada,Bacharelado,Centro-Oeste,1120,594,2024
Serviço Social,Privada,Bacharelado,Nordeste,1381,464,2024
Serviço Social,Privada,Bacharelado,Norte,166,37,2024
Serviço Social,Privada,Bacharelado,Sudeste,12443,5611,2024
Serviço Social,Privada,Bacharelado,Sul,19455,13293,2024
Serviço Social,Pública,Bacharelado,Sudeste,10,5,2024
Serviços Judiciais,Privada,Tecnólogo,Nordeste,91,67,2024
Serviços Judiciais,Privada,Tecnólogo,Sudeste,433,222,2024
Serviços Judiciais,Privada,Tecnólogo,Sul,103,56,2024
Serviços Jurídicos,Privada,Tecnólogo,Centro-Oeste,93,0,2024
Serviços Jurídicos,Privada,Tecnólogo,Sudeste,3,1,2024
Serviços Jurídicos,Privada,Tecnólogo,Sul,527,94,2024
Serviços Jurídicos E Notariais,Privada,Tecnólogo,Centro-Oeste,90,33,2024
Serviços Jurídicos E Notariais,Privada,Tecnólogo,Nordeste,99,33,2024
Serviços Jurídicos E Notariais,Privada,Tecnólogo,Sudeste,2147,1081,2024
Serviços Jurídicos E Notariais,Privada,Tecnólogo,Sul,751,294,2024
"Serviços Jurídicos, Cartorários E Notariais",Privada,Tecnólogo,Centro-Oeste,155,95,2024
"Serviços Jurídicos, Cartorários E Notariais",Privada,Tecnólogo,Nordeste,19,9,2024
"Serviços Jurídicos, Cartorários E Notariais",Privada,Tecnólogo,Sudeste,394,150,2024
"Serviços Jurídicos, Cartorários E Notariais",Privada,Tecnólogo,Sul,1819,1055,2024
"Serviços Jurídicos, Notariais E De Registro",Privada,Tecnólogo,Nordeste,37,16,2024
"Serviços Jurídicos, Notariais E De Registro",Privada,Tecnólogo,Sudeste,98,82,2024
Serviços Notariais E Registrais,Privada,Tecnólogo,Nordeste,5,2,2024
Serviços Notariais E Registrais,Privada,Tecnólogo,Sudeste,77,34,2024
Serviços Notariais E Registrais,Privada,Tecnólogo,Sul,14,2,2024
Serviços Penais,Privada,Tecnólogo,Centro-Oeste,4,0,2024
Serviços Penais,Privada,Tecnólogo,Nordeste,53,28,2024
Serviços Penais,Privada,Tecnólogo,Sudeste,266,94,2024
Serviços Penais,Privada,Tecnólogo,Sul,395,121,2024
Serviços Previdenciários,Privada,Tecnólogo,Sul,158,50,2024
Serviços Registrais E Notariais,Privada,Tecnólogo,Nordeste,9,5,2024
Serviços Registrais E Notariais,Privada,Tecnólogo,Sudeste,88,39,2024
Serviços Registrais E Notariais,Privada,Tecnólogo,Sul,9,4,2024
Sistema De Informação,Pública,Bacharelado,Nordeste,182,24,2024
Sistemas Biomédicos,Privada,Tecnólogo,Sul,329,4,2024
Sistemas Construtivos Sustentáveis,Privada,Tecnólogo,Sul,12,11,2024
Sistemas De Informação,Privada,Bacharelado,Centro-Oeste,217,110,2024
